sender,volume,transfers,avg_value
TFDA5VwzbY7w2PMU9FGJjx2ef7XoBxSNjS,65746.9797,1,65746.9797
TNXEcNrUXXXi6522BVEXWuAHPtrEqrZB4Y,65001.78721299999,87,747.14697945977
THHwHjTKBjWbDa5QxP5DZ6vaTkK5Kt4TPs,65000.0,1,65000.0
TDFEaV83GrQEQWPnYkC6zz8Baq883txgfK,65000.0,1,65000.0
TQWWY57dUMsDH8Q78dQ1zgS3DqjyLEhmdp,64955.0,1,64955.0
TKCjh6vH3qkjCKmDnr9gX55e8yh9diDwuy,64510.0,3,21503.333333333332
TNwazEhQa8ELSNE3JPqtj4GeMhnqekN1WN,64500.0,1,64500.0
TEN4KrL95t6cSWZwb71gaiXj5ZbadJuT3o,64375.791203999994,262,245.70912673282442
TRoLmkKiiUnK64qtyN2qjdF8Df9jPpNYc3,64149.0,2,32074.5
TUktrKwLLGGjks6DoN1zGta8muskbd9tnk,64146.616675,51,1257.7767975490196
TRShCA2zaDty28bUJRoacTN614ePmKRh7r,64129.34760000001,31,2068.688632258065
TBo4PG4AAipPs6h7dZnPnJKwz6vBsk5Xd8,64000.0,1,64000.0
TKP5TvhhxNfAU5TwBJmbZjjtdRcPo6HHqV,63786.0,4,15946.5
TERvmHYzYYPt81nbiYi4yLA1AUxm9cNVnB,63600.0,1,63600.0
TFcZvkWxBS1u9LRrUBjePD5k3Wc9pN9Q9P,63510.0,1,63510.0
TX8ykShjmNyzhDHMTrp39QY4cSd8iuuKkE,63510.0,2,31755.0
TFuZQXoiYi3Jx8798ZwxANfYSwKExJFJy6,63231.0,3,21077.0
TDuyF7RF5gXa8xWaQfwjT9UUH8TBWKSs4R,63200.0,1,63200.0
TBQeYaWDSDgZV1LJbJQZ1iJG5ebbCFBNQM,63004.869999999995,15,4200.324666666666
TE87rvTr4e4oko1YgsDYm4uuogaBR2vJvi,61385.0,1,61385.0
TE1vdYwKg8aZu2sxMDWcb9ch5jFnn8EVfo,60772.331579,1,60772.331579
TPSNHsf3m6qUTEbWmk8yPEPqpXyhEfHn2d,60699.0,17,3570.529411764706
TKjBvhHepso1661kMfVGKy8QJZXfdJUadU,60307.04,7,8615.291428571429
TQuFSvpct2FeBrKjRh8NDqtGAci2Z15RSa,60249.929999999986,115,523.9124347826086
