#,Account,Amount,Value,Percentage,Last Txn Time (UTC)
193,TSNQE6HXVd8NMuknWTxkvEKU8wAJWcHbb7,13514351.500288,13517080.29,0.0002,2024-08-01 17:04:54
194,TL9Xo3vs8SeGT662gU75yyjsMoh7xKVFdn,13423732.522255,13426443.02,0.0002,2024-08-19 04:32:00
195,TTNLjxARXaNJ5CBzuQohr2mwvKRssWnMDE,13246518.565909,13249193.28,0.0002,2024-09-18 10:59:06
196,TUTW2DFxeDAFcRqFsajBv96XEbf66DzU1a,13177253.517809,13179914.24,0.0002,2023-12-07 00:20:09
197,TWGWVKJf7ophhJ72HrAr7Wiun9Be871QRx,13145000.000000,13147654.21,0.0002,2024-07-11 15:43:09
198,TQXuMgS8NTorPPuEvBuZssP2DBd3PtXiTr,13124441.178931,13127091.24,0.0002,2024-06-20 07:40:03
199,TVznYXswxSqavBPWVYbPqVXLyrUHzAodzp,13123542.204879,13126192.08,0.0002,2024-08-22 14:40:27
200,TKVU1qLzQnW9KBxAYBscUwet96g4L9JZ8o,13107585.440843,13110232.10,0.0002,2024-09-21 10:36:09
201,TRtK9jLLf7UVaLBETJgkfHwcRUwwRZqHeD,13055308.795530,13057944.90,0.0002,2024-09-16 14:47:15
202,TBZb9ts6y68si5G9zD2GMoLKTsuGL3cH19,13048461.589092,13051096.31,0.0002,2024-09-20 14:33:12
203,THsPNvWc47swNQp2GmAoH96KtYfSR4bz9F,13000002.428642,13002627.36,0.0002,2024-08-21 08:34:42
204,TChMRVanRiXnTNbfMpSzKrNxwBkLWWNex1,13000000.000000,13002624.93,0.0002,2024-03-11 09:03:18
205,TTiFsZxXYV3AehWwtdvuQVoGz9qx1Fv2AH,12944509.949511,12947123.68,0.0002,2023-09-29 05:42:51
206,TAg8MfFDkgNmkxLjtzMiz74i1m8czCHPc5,12925234.622290,12927844.46,0.0002,2024-09-21 11:23:09
207,TBhLDEYwDwDp53EttAiRy7ncasL4niZ9qy,12882702.620422,12885303.87,0.0002,2024-09-09 12:17:48
208,TFB1CXtJ9A6vwSG9pUauHqT7iVKsPsnsTd,12806644.446860,12809230.34,0.0002,2024-09-07 11:57:03
209,TV8nRm915CochuP9zR4ggc2MGXpMtoFzwk,12800000.000000,12802584.55,0.0002,2024-05-17 07:58:33
210,TYzyNTfhKpsHQ3dZM2JuGQ8hag2PyJeGTf,12773398.384257,12775977.56,0.0002,2023-10-26 14:30:30
211,TKVwUN4F7AbJe9Yahoikj6byKpSWCn9NrH,12767266.625000,12769844.57,0.0002,2024-09-19 14:33:57
212,THb8K6SpoNMDTdVbbtgDQ3xducb66B3Jrx,12742317.333360,12744890.24,0.0002,2024-09-11 20:21:03
213,TNEpkMxupa6jsvdRRrd4bwoi1FdsAmU4Uq,12630177.730061,12632727.99,0.0002,2024-09-19 17:41:12
214,TYg16AgYed1HfUZqsz5PNPboFGGuGsaBaP,12600000.677635,12602544.84,0.0002,2024-01-16 14:34:30
215,TGN7mh6sVmEpAcHmYCsGHFEnQZDTCsoy8c,12500711.560000,12503235.68,0.0002,2024-09-12 15:27:39
216,TSJW2azVDbgPpqi7MyMdA7iDJbrq9NG82b,12500000.000000,12502523.97,0.0002,2024-08-23 09:28:57
217,TMwyDwhbn8Jp5t7XFfBxKikLQ3XhdKfHge,12469608.026838,12472125.86,0.0002,2024-09-20 09:00:09
218,TTKZnuSg314Fs5oKjbsXspzS9ASgA1Pssr,12462293.107971,12464809.47,0.0002,2024-08-25 12:14:27
219,TNo4B1MFU964WmLUxZN34dvPN6RJvdpYvB,12436423.000000,12438934.14,0.0002,2024-02-01 14:43:18
220,TDXbhgxcFM7fnaTzz45HSzJMfCryE7kHme,12294471.308863,12296953.78,0.0001,2024-09-21 08:25:18
221,TPxxYq9FDVMdNiXwBTjKQFW92RDiGzk4ib,12115031.571190,12117477.81,0.0001,2023-10-17 10:21:18
222,TLbasEDrRDjvaJNtjwVWUCDRnmRAVe4RHi,12097403.805619,12099846.49,0.0001,2024-08-05 03:07:00
223,TKcbKvRFXsN4LdvSFoXP7iNKhVgQ6HZzgE,12000941.570558,12003364.78,0.0001,2024-08-05 13:41:15
224,TPPmfy2ETTsuonLmttP8qguNbaanaxjiW7,12000329.892872,12002752.97,0.0001,2024-09-17 06:20:33
225,TN9oHDLN13z1AKB4AHSHnqrmNviBj5uVXv,12000016.000000,12002439.02,0.0001,2024-08-15 20:09:45
226,TJdcQGYTCR56xsz5tzFwBtSVz8qbUF62gE,12000009.000000,12002432.02,0.0001,2024-01-30 20:34:18
